Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,260,Fr. South Antarctic Terr.,ATF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2183255,,2183255,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,262,Djibouti,DJI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,29200,,29200,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,268,Georgia,GEO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,18111818,,18111818,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,276,Germany,DEU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,710620531,,710620531.29,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,288,Ghana,GHA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6552897,,6552897,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,300,Greece,GRC,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,87834651,,87834651.23,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,308,Grenada,GRD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,364524,,364524,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,320,Guatemala,GTM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,101649736,,101649736.35,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,324,Guinea,GIN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,127232,,127232,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,328,Guyana,GUY,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,1887736,,1887736,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,332,Haiti,HTI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3350697,,3350697.61,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,340,Honduras,HND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,46322150,,46322150.27,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,344,"China, Hong Kong SAR",HKG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,104398510,,104398510.7,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,352,Iceland,ISL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,4535698,,4535698,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,360,Indonesia,IDN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,63087582,,63087582,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,372,Ireland,IRL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,56476169,,56476169,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,364,Iran,IRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,20098861,,20098861,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,348,Hungary,HUN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,10115786,,10115786.35,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,376,Israel,ISR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,85255761,,85255761,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,380,Italy,ITA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,870684932,,870684932,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,384,Côte d'Ivoire,CIV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,428766,,428766,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,388,Jamaica,JAM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,12805248,,12805248,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,392,Japan,JPN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,5187621449,,5187621449.85,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,398,Kazakhstan,KAZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,2705846,,2705846,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,400,Jordan,JOR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,6766660,,6766660,0
H4,2016,2016,2016,5,0,0,X,152,Chile,CHL,404,Kenya,KEN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,0,-1,N/A,0,,,3887381,,3887381.62,0
